UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
111887,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1704,"R",0,"R",1704,"R",163,"R",10,"R",506,"R",30,"R",0,"R",1704,"R",144,"R",175,"R",650,"R",38
111896,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",204,"R",0,"R",204,"R",31,"R",15,"R",59,"R",29,"R",0,"R",204,"R",16,"R",14,"R",75,"R",37
111920,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",919,"R",0,"R",919,"R",114,"R",12,"R",316,"R",34,"R",0,"R",919,"R",65,"R",103,"R",381,"R",41
111939,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1522,"R",0,"R",1522,"R",144,"R",9,"R",429,"R",28,"R",0,"R",1522,"R",111,"R",142,"R",540,"R",35
111948,"R",1284,"R",0,"R",1284,"R",925,"R",72,"R",1035,"R",81,"R",0,"R",1284,"R",11,"R",0,"R",1046,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111966,"R",4,"R",0,"R",4,"R",2,"R",50,"R",3,"R",75,"Z",0,"R",4,"R",0,"Z",0,"R",3,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112075,"R",373,"R",0,"R",373,"R",209,"R",56,"R",236,"R",63,"R",0,"R",373,"R",2,"R",0,"R",238,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112084,"R",90,"R",0,"R",90,"R",35,"R",39,"R",38,"R",42,"R",0,"R",90,"R",2,"R",3,"R",40,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112172,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1358,"R",0,"R",1358,"R",255,"R",19,"R",553,"R",41,"R",0,"R",1358,"R",94,"R",106,"R",647,"R",48
112181,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",76,"R",0,"R",76,"R",4,"R",5,"R",68,"R",89,"Z",0,"R",76,"R",0,"Z",0,"R",68,"R",89
112190,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1419,"R",0,"R",1419,"R",260,"R",18,"R",522,"R",37,"R",0,"R",1419,"R",105,"R",131,"R",627,"R",44
112260,"R",337,"R",0,"R",337,"R",286,"R",85,"R",307,"R",91,"R",0,"R",337,"R",2,"R",1,"R",309,"R",92,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112288,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",291,"R",0,"R",291,"R",64,"R",22,"R",204,"R",70,"R",0,"R",291,"R",2,"R",0,"R",206,"R",71
