UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
444671,"R",120,"R",0,"R",120,"R",92,"R",92,"R",0,"R",0,"R",28,"R",120,"Z",0,"R",120,"R",92,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
444732,"R",34,"R",0,"R",34,"R",5,"R",7,"R",0,"R",13,"R",14,"R",34,"Z",0,"R",34,"R",7,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
444796,"R",182,"R",0,"R",182,"R",56,"R",116,"R",3,"R",0,"R",63,"R",178,"Z",0,"R",178,"R",116,"R",4,"Z",0,"R",4,"R",0,"R",0,"Z",0,"R",0,"R",0
444857,"R",7,"R",1,"R",6,"R",4,"R",5,"R",0,"R",0,"R",1,"R",5,"R",1,"R",4,"R",4,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",1
444893,"R",347,"R",0,"R",347,"R",74,"R",92,"R",0,"R",202,"R",53,"R",278,"Z",0,"R",278,"R",83,"R",69,"Z",0,"R",69,"R",9,"R",0,"Z",0,"R",0,"R",0
444936,"R",186,"Z",0,"R",186,"R",24,"R",161,"Z",0,"R",16,"R",9,"R",17,"Z",0,"R",17,"R",11,"R",1,"Z",0,"R",1,"R",1,"R",168,"Z",0,"R",168,"R",149
444945,"R",555,"R",3,"R",552,"R",312,"R",384,"R",0,"R",0,"R",168,"R",467,"R",3,"R",464,"R",303,"R",31,"R",0,"R",31,"R",28,"R",57,"R",0,"R",57,"R",53
445212,"R",24,"R",0,"R",24,"R",0,"R",13,"Z",0,"Z",0,"R",11,"R",13,"Z",0,"R",13,"R",6,"R",1,"Z",0,"R",1,"R",0,"R",10,"Z",0,"R",10,"R",7
445258,"R",253,"R",0,"R",253,"R",103,"R",124,"R",7,"R",0,"R",122,"R",211,"Z",0,"R",211,"R",115,"R",9,"Z",0,"R",9,"R",6,"R",33,"Z",0,"R",33,"R",3
445498,"R",46,"R",0,"R",46,"R",39,"R",39,"R",0,"R",0,"R",7,"R",38,"Z",0,"R",38,"R",38,"R",0,"Z",0,"R",0,"R",0,"R",8,"Z",0,"R",8,"R",1
445540,"R",69,"R",0,"R",69,"R",10,"R",42,"R",1,"R",11,"R",15,"R",53,"Z",0,"R",53,"R",29,"R",7,"Z",0,"R",7,"R",6,"R",9,"Z",0,"R",9,"R",7
445638,"R",22,"R",0,"R",22,"R",15,"R",17,"R",0,"R",0,"R",5,"R",11,"Z",0,"R",11,"R",8,"R",2,"Z",0,"R",2,"R",2,"R",9,"Z",0,"R",9,"R",7
445647,"R",71,"R",0,"R",71,"R",33,"R",54,"R",0,"R",0,"R",17,"R",42,"Z",0,"R",42,"R",26,"R",7,"Z",0,"R",7,"R",7,"R",22,"Z",0,"R",22,"R",21
445656,"R",65,"R",0,"R",65,"R",39,"R",50,"R",0,"R",0,"R",15,"R",40,"Z",0,"R",40,"R",30,"R",3,"Z",0,"R",3,"R",3,"R",22,"Z",0,"R",22,"R",17
