UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
146506,"R",165,"R",8676459,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",482698,"R",24,"R",2316976,"R",19,"R",891051,"R",17,"R",873447,"R",29,"R",1378131,"R",2,"R",76170,"R",30,"R",1312621,"R",3,"R",126101,"R",29,"R",1153058,"R",1,"R",66206,"Z",0,"Z",0
146533,"R",9,"R",679507,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",287246,"R",2,"R",302471,"R",1,"R",52252,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",37538,"Z",0,"Z",0,"Z",0,"Z",0
146603,"R",194,"R",11521929,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",68899,"R",66,"R",5723955,"R",25,"R",924390,"R",24,"R",1255858,"R",41,"R",1967709,"R",1,"R",70120,"R",13,"R",685394,"Z",0,"Z",0,"R",22,"R",825604,"Z",0,"Z",0,"Z",0,"Z",0
146612,"R",342,"R",20995235,"Z",0,"Z",0,"Z",0,"Z",0,"R",26,"R",1045346,"R",83,"R",7820929,"R",28,"R",1563125,"R",25,"R",1549651,"R",74,"R",3984012,"R",2,"R",115753,"R",33,"R",1485846,"Z",0,"Z",0,"R",51,"R",2150483,"R",20,"R",1280090,"Z",0,"Z",0
146667,"R",50,"R",1932165,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",304750,"R",7,"R",428000,"R",5,"R",195426,"R",3,"R",153860,"R",1,"R",51500,"Z",0,"Z",0,"R",13,"R",367699,"R",5,"R",197704,"R",8,"R",233226,"Z",0,"Z",0,"Z",0,"Z",0
146676,"R",119,"R",5199915,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",626772,"R",28,"R",2095835,"R",7,"R",336613,"R",4,"R",155354,"R",17,"R",638876,"Z",0,"Z",0,"R",29,"R",729169,"Z",0,"Z",0,"R",14,"R",430436,"R",5,"R",186860,"Z",0,"Z",0
146685,"R",284,"R",17739732,"Z",0,"Z",0,"Z",0,"Z",0,"R",37,"R",2112940,"R",64,"R",6474823,"R",25,"R",1403030,"R",21,"R",1330509,"R",24,"R",1325987,"R",1,"R",58500,"R",36,"R",1528685,"R",3,"R",131140,"R",60,"R",2638074,"R",13,"R",736044,"Z",0,"Z",0
146700,"R",36,"R",2054838,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",232164,"R",18,"R",1288170,"Z",0,"Z",0,"R",1,"R",50184,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",76412,"Z",0,"Z",0,"R",10,"R",407908,"Z",0,"Z",0,"Z",0,"Z",0
146719,"R",1192,"R",96901069,"R",25,"R",1613530,"Z",0,"Z",0,"R",38,"R",2391760,"R",301,"R",38251857,"R",120,"R",8952450,"R",133,"R",10645955,"R",151,"R",9456189,"R",13,"R",1067330,"R",177,"R",9679233,"Z",0,"Z",0,"R",188,"R",10173851,"R",46,"R",4668914,"Z",0,"Z",0
146728,"R",38,"R",2631195,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",505562,"R",11,"R",1139925,"R",5,"R",272152,"R",1,"R",65000,"R",1,"R",51000,"Z",0,"Z",0,"R",2,"R",94064,"Z",0,"Z",0,"R",8,"R",363492,"R",2,"R",140000,"Z",0,"Z",0
146755,"R",12,"R",854969,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",95460,"R",3,"R",390318,"R",3,"R",186358,"R",1,"R",61801,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",121032,"Z",0,"Z",0,"Z",0,"Z",0
146816,"R",15,"R",1038551,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",344741,"R",4,"R",508046,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",185764,"Z",0,"Z",0,"Z",0,"Z",0
146977,"R",27,"R",1842413,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",112182,"R",6,"R",677066,"R",2,"R",178000,"R",2,"R",127000,"R",2,"R",114000,"Z",0,"Z",0,"R",2,"R",92212,"Z",0,"Z",0,"R",10,"R",541953,"Z",0,"Z",0,"Z",0,"Z",0
147004,"R",181,"R",12540505,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",863438,"R",56,"R",5404261,"R",12,"R",700190,"R",17,"R",1225304,"R",12,"R",685232,"Z",0,"Z",0,"R",14,"R",672048,"R",1,"R",50440,"R",50,"R",2548688,"R",5,"R",390904,"Z",0,"Z",0
147013,"R",141,"R",7644365,"Z",0,"Z",0,"R",4,"R",198938,"R",29,"R",1394057,"R",16,"R",1714792,"R",5,"R",236553,"R",8,"R",485920,"R",46,"R",2247028,"R",3,"R",205530,"R",16,"R",600583,"Z",0,"Z",0,"R",14,"R",560964,"Z",0,"Z",0,"Z",0,"Z",0
147031,"R",17,"R",1379495,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",330516,"R",3,"R",445183,"R",2,"R",186305,"Z",0,"Z",0,"R",4,"R",265467,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",152024,"Z",0,"Z",0,"Z",0,"Z",0
147129,"R",60,"R",3081383,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",889054,"R",11,"R",703851,"R",3,"R",214510,"R",2,"R",108722,"R",5,"R",295464,"Z",0,"Z",0,"R",1,"R",31792,"R",1,"R",55182,"R",18,"R",782808,"Z",0,"Z",0,"Z",0,"Z",0
147244,"R",186,"R",9373868,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",767326,"R",24,"R",2448327,"R",15,"R",680466,"R",17,"R",880390,"R",54,"R",2512956,"Z",0,"Z",0,"R",20,"R",721006,"Z",0,"Z",0,"R",41,"R",1363397,"Z",0,"Z",0,"Z",0,"Z",0
